100	778	
0	9	7
0	21	1
0	1	6
0	2	8
0	93	6
0	42	1
1	98	4
1	29	6
1	87	7
1	7	9
1	9	4
1	47	1
1	96	4
1	56	2
2	49	4
2	30	10
2	96	7
2	88	8
2	70	8
2	56	10
2	9	9
2	21	7
2	93	4
2	0	3
2	89	7
2	42	10
2	7	1
2	1	8
2	14	3
2	78	5
3	68	8
3	26	10
3	79	2
3	61	5
3	12	2
3	90	7
3	69	5
4	12	10
4	28	9
4	82	9
4	14	7
4	75	7
5	20	5
5	83	4
5	30	9
5	53	8
5	94	1
6	16	4
6	10	4
6	53	7
6	82	9
6	23	3
6	19	5
6	54	10
7	56	5
7	42	9
7	1	6
7	15	8
7	93	5
7	14	7
7	48	9
7	70	7
8	92	2
8	44	2
8	2	3
8	74	3
8	78	1
8	47	10
9	21	1
9	17	8
9	99	9
9	93	2
9	35	9
10	16	6
10	72	10
10	29	9
10	60	3
10	65	6
11	9	1
11	32	6
11	83	9
11	55	9
11	98	9
11	73	7
11	53	4
12	27	9
12	5	6
12	15	9
12	74	1
12	4	6
12	41	5
12	81	3
12	71	4
12	53	6
12	48	3
12	61	5
12	62	7
12	33	4
12	37	4
12	83	10
12	20	9
12	46	6
12	25	7
12	43	3
13	78	4
13	91	4
13	8	9
13	80	9
13	58	10
13	57	8
13	95	3
13	39	3
14	48	5
14	27	3
14	33	9
14	43	9
14	62	2
14	38	5
14	64	4
14	52	7
14	98	4
14	12	9
15	29	3
15	84	10
15	60	4
15	79	1
15	69	2
16	84	6
16	77	1
16	83	5
16	53	4
16	82	3
16	72	1
17	76	5
17	70	3
17	37	6
17	42	10
17	66	7
18	1	2
18	27	7
18	96	4
18	99	6
18	88	9
18	89	8
18	0	4
18	59	10
18	78	1
18	30	10
18	76	4
18	42	1
18	2	3
18	9	3
18	21	5
18	93	6
18	84	10
19	83	10
19	32	5
19	85	4
19	81	4
19	39	4
19	27	8
19	72	9
19	51	4
19	53	5
19	76	10
19	98	3
19	57	7
20	86	3
20	83	3
20	53	1
20	10	10
20	5	1
21	70	1
21	93	2
21	49	1
21	88	2
21	54	7
21	83	10
21	68	10
22	15	8
22	69	4
22	90	9
22	58	5
22	7	1
22	29	3
22	68	10
22	27	7
22	97	2
22	5	4
22	3	4
22	79	6
22	35	4
22	64	7
22	67	10
22	54	10
22	50	3
22	26	9
23	16	4
23	5	2
23	36	4
23	55	2
23	83	9
23	98	8
23	31	8
24	44	5
24	92	8
24	74	5
24	35	8
24	95	4
24	8	7
25	30	1
25	48	10
25	75	5
25	41	2
25	52	5
25	46	7
25	29	2
25	27	2
25	45	7
26	68	8
26	77	4
26	94	9
26	61	4
26	67	3
27	14	5
27	98	2
27	43	9
27	2	1
27	44	9
27	33	5
27	10	2
28	40	3
28	33	1
28	61	3
28	48	7
28	43	5
28	85	1
28	98	6
29	61	3
29	66	9
29	82	4
29	68	5
29	53	6
29	5	7
30	96	7
30	59	3
30	48	10
30	1	2
30	99	3
30	71	3
30	45	2
30	87	10
30	9	1
30	56	8
30	89	3
30	63	4
30	76	4
30	18	5
30	0	4
30	34	5
30	81	3
30	62	8
31	16	3
31	57	7
31	86	6
31	55	2
31	42	2
31	6	2
32	53	1
32	84	7
32	31	3
32	73	3
32	42	8
32	51	9
33	41	5
33	82	2
33	46	7
33	40	1
33	27	8
33	48	8
33	81	5
33	12	4
33	98	5
33	65	6
33	4	2
34	93	8
